test_id,node,test_category,test_description,test,result,failure_reason
1,P-01,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
2,P-02,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
3,PE-01,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
4,PE-02,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
5,PE-03,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
6,PE-04,NTP,Synchronised with NTP server,NTP,FAIL,Not synchronised to NTP server
7,P-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet25/1 - P2P_LINK_TO_P-02_Ethernet25/1,PASS,
8,P-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_PE-01_Ethernet1/1,PASS,
9,P-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-02_Ethernet50/1,PASS,
10,P-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet26/1 - P2P_LINK_TO_PE-03_Ethernet55/1,PASS,
11,P-02,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet25/1 - P2P_LINK_TO_P-01_Ethernet25/1,PASS,
12,P-02,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet26/1 - P2P_LINK_TO_PE-02_Ethernet55/1,PASS,
13,P-02,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4/1 - P2P_LINK_TO_PE-03_Ethernet50/1,PASS,
14,P-02,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_PE-04_Ethernet1/1,PASS,
15,P-02,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-04_Ethernet2/1,PASS,
16,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1/1 - P2P_LINK_TO_P-01_Ethernet1/1,PASS,
17,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2/1 - P2P_LINK_TO_PE-02_Ethernet49/1,PASS,
18,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5/2.100 - L3vpn service, vlan 100,PASS,
19,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5/2.10 - ,PASS,
20,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5/2 - ,PASS,
21,PE-01,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5/1 - ,FAIL,Interface shutdown: False - interface status: Not present - line protocol status: Not present
